TrkNo,TrkDate,PerNo,PerDate,BlockNo,LotNo,Qual,PropHouseNo,PropStreet,PropCity,OwnerHouseNo,OwnerStreet,OwnerCity,OwnerState,OwnerZip,CO_Date,Latitude,Longitude
10099,1996-07-15T00:00:00,19961923,1996-10-03T00:00:00,406,15.03,,18,ASHBY LANE,NEWARK,10,HIGHWAY 35,RED BANK,NJ,07701,1997-08-26T00:00:00,40.74113,-74.1847839
10100,1996-10-03T00:00:00,19961924,1996-10-03T00:00:00,481,12,,34,BROADWAY,NEWARK,34,BROADWAY,NEWARK,NJ,07040,1996-10-03T00:00:00,40.7512054,-74.17094
10101,1996-10-03T00:00:00,19961925,1996-10-03T00:00:00,406,15.02,,20,ASHBY LANE,NEWARK,10,HIGHWAY 35,RED BANK,NJ,07701,1997-10-24T00:00:00,40.7411461,-74.18482
10103,1996-07-15T00:00:00,19961927,1996-10-03T00:00:00,406,15.01,,22,ASHBY LANE,NEWARK,10,HIGHWAY 35,RED BANK,NJ,07701,1997-08-26T00:00:00,40.7415428,-74.18463
10104,1996-03-28T00:00:00,19961907,1996-10-03T00:00:00,2797,"24,25,262",,121,WRIGHT STREET,NEWARK,214,EAST GROVE STREET,WESTFIELD,NJ,07091,1997-05-15T00:00:00,40.720192,-74.1821747
10105,1996-03-28T00:00:00,19961912,1996-10-03T00:00:00,2797,242526,,119,WRIGHT STREET,NEWARK,214,EAST GROVE STREET,WESTFIELD,NJ,07091,1997-05-15T00:00:00,40.7203979,-74.18265
10148,1996-09-19T00:00:00,19961943,1996-10-07T00:00:00,41,35,,66,JAMES ST.,NEWARK,111,MULBERRY ST.,NEWARK,NJ,,1997-04-16T00:00:00,40.7446632,-74.17382
10149,1996-09-19T00:00:00,19961944,1996-10-07T00:00:00,41,34,,68,JAMES ST.,NEWARK,111,MULBERRY ST.,NEWARK,NJ,,1997-04-16T00:00:00,40.7446938,-74.1738739
10150,1996-03-28T00:00:00,19961947,1996-10-07T00:00:00,2808,27282930,,114,PENNSYLVANIA AVENUE,NEWARK,214,EAST GROVE STREET,WESTFIELD,NJ,07091,1997-05-30T00:00:00,40.7214737,-74.18228
10151,1996-05-06T00:00:00,19960749,1996-05-06T00:00:00,1165,19,,210,PARKHURST STREET,NEWARK,254,JORALEMON ST.,BELLEVILLE,NJ,07109,1996-09-13T00:00:00,40.7207336,-74.17227
10153,1996-09-19T00:00:00,19961945,1996-10-07T00:00:00,41,33,,70,JAMES ST.,NEWARK,111,MULBERRY ST.,NEWARK,NJ,,1997-04-16T00:00:00,40.7447166,-74.17392
10154,1996-09-19T00:00:00,19961946,1996-10-07T00:00:00,41,32,,72,JAMES ST.,NEWARK,111,MULBERRY ST.,NEWARK,NJ,,1997-04-16T00:00:00,40.7447357,-74.17399
10155,1996-03-28T00:00:00,19961948,1996-10-07T00:00:00,2808,27282930,,112A,PENNSYLVANIA AVENUE,NEWARK,214,EAST GROVE STREET,WESTFIELD,NJ,07091,1997-05-30T00:00:00,40.7215538,-74.18223
10157,1996-03-28T00:00:00,19961949,1996-10-07T00:00:00,2808,"27,282930",,112B,PENNSYLVANIA AVENUE,NEWARK,214,EAST GROVE STREET,WESTFIELD,NJ,07091,1997-05-30T00:00:00,40.7215538,-74.18223
10160,1996-03-28T00:00:00,19961950,1996-10-07T00:00:00,2808,27282930,,116,PENNSYLVANIA AVENUE,NEWARK,214,EAST GROVE STREET,WESTFIELD,NJ,07091,1997-05-30T00:00:00,40.72139,-74.18233
10165,1996-03-28T00:00:00,19961954,1996-10-07T00:00:00,2797,23293031,,117,WRIGHT STRET,NEWARK,214,EAST GROVE STREET,NEWARK,NJ,07091,1997-05-15T00:00:00,40.7201958,-74.18219
10167,1996-03-28T00:00:00,19961955,1996-10-07T00:00:00,2797,23293031,,115,WRIGHT STRET,NEWARK,214,EAST GROVE STREET,NEWARK,NJ,07091,1997-05-15T00:00:00,40.7201958,-74.18219
10168,1996-03-28T00:00:00,19961956,1996-10-07T00:00:00,2797,23293031,,113,WRIGHT STREET,NEWARK,214,EAST GROVE STREET,NEWARK,NJ,07091,1997-05-15T00:00:00,40.72032,-74.1825256
10169,1996-03-28T00:00:00,19961957,1996-10-07T00:00:00,2797,23293031,,111,WRIGHT STREET,NEWARK,214,EAST GROVE STREET,NEWARK,NJ,07091,1997-05-15T00:00:00,40.7204437,-74.18285
10196,1996-10-09T00:00:00,19961973,1996-10-09T00:00:00,2846,9,,224,SUSSEX AVE.,NEWARK,555,PASSAIC AVENUE,WEST CALDWELL,NJ,07006,1997-02-28T00:00:00,40.74846,-74.1857
10197,1996-03-28T00:00:00,19961974,1996-10-09T00:00:00,2804,789101137,,88,SHERMAN AVENUE,NEWARK,214,EAST GROVE STREET,"WESTFIELD,",NJ,07091,1997-05-15T00:00:00,40.7219429,-74.18545
10198,1996-03-28T00:00:00,19961975,1996-10-09T00:00:00,2804,789101137,,86,SHERMAN AVENUE,NEWARK,214,EAST GROVE STREET,"WESTFIELD,",NJ,07091,1997-05-15T00:00:00,40.72165,-74.18473
